time,lat,lon,depth,cruise,station,cast,C14_assimilation_nano_mean,C14_assimilation_nano_stdev,filter_min,bottle,CMAP_sea_water_temp_WOA_clim_tblWOA_Climatology,CMAP_density_WOA_clim_tblWOA_Climatology,CMAP_salinity_WOA_clim_tblWOA_Climatology,CMAP_nitrate_WOA_clim_tblWOA_Climatology,CMAP_phosphate_WOA_clim_tblWOA_Climatology,CMAP_silicate_WOA_clim_tblWOA_Climatology,CMAP_oxygen_WOA_clim_tblWOA_Climatology,CMAP_NO3_tblPisces_NRT,CMAP_PO4_tblPisces_NRT,CMAP_O2_tblPisces_NRT,CMAP_Si_tblPisces_NRT,CMAP_PP_tblPisces_NRT,CMAP_CHL_tblPisces_NRT,CMAP_PHYC_tblPisces_NRT
2012-02-13T12:00:00,22.75,158,5,249,2,1,0.084635129559181,0.0169869781554679,3,"""20,21,22""",24.493082364400227,23.60391966501872,35.14534346262614,0.0180181892380157,0.1047418837745984,2.449930727481842,4.839544574419658,2.46865914779e-05,0.1876352783293958,216.2350794475,5.851771354674999,0.0005564405303933,0.0455901088037791,0.5354776692887917
2012-02-13T12:00:00,22.75,158,25,249,2,1,0.0762577301473883,0.0041329297687986,3,"""17,18,19""",24.38898277282715,23.738452275594074,35.17241414388021,0.0650926589344938,0.0996129574875036,3.467751681804657,4.824688156445821,3.28945552862e-05,0.1868522506622222,216.28745015466663,5.848934729894999,0.0004592068111784,0.0461515817377388,0.5319515069324999
2012-02-13T12:00:00,22.75,158,45,249,2,1,0.0534555381075665,0.0059043134217249,3,"""14,15,16""",24.24065732955933,23.88954035441081,35.17403507232666,0.0713961760823925,0.1000173731396595,4.260336438814799,4.814523975054423,5.44376081279e-05,0.1852021316686667,216.55121994016667,5.843888084094167,0.0004081538063474,0.0472542649756083,0.52578987677875
2012-02-13T12:00:00,22.75,158,75,249,2,1,0.0215309880393669,0.0057136204714217,3,"""11,12,13""",23.8469139734904,24.21545696258545,35.18648274739584,0.0790429615105191,0.0973765061547358,4.513179540634155,4.846227566401164,0.000460869986758,0.1778905391693333,222.40149434433337,5.9137629667916665,0.0003798985174701,0.0630493393788666,0.5163494944571666
2012-02-13T12:00:00,22.75,158,100,249,2,1,0.0055692621239386,0.0009962557944214,3,"""8,9,10""",23.215898990631104,24.52855372428894,35.188087463378906,0.0852278429083526,0.0933900931850075,4.790738463401794,4.816253125667572,,,,,,,
2012-02-13T12:00:00,22.75,158,125,249,2,1,0.0030509470211547,0.0006066236505914,3,"""5,6,7""",21.915772914886475,25.05181074142456,35.09117603302002,0.2503618821501732,0.1390426494181156,5.325546860694885,4.751274108886719,,,,,,,
2012-03-07T12:00:00,22.75,158,5,250,2,2,0.0747321269042355,0.0092822077928005,3,"""21,22,23""",24.11206833521525,23.745874245961502,35.143921852111816,0.0727496184408664,0.0879800015439589,1.9988957345485687,4.799680630366008,0.0029426772403192,0.2061083878699792,216.12205346427083,6.068142990270832,0.0011114858079961,0.0634894290706145,0.6215569972991771
2012-03-07T12:00:00,22.75,158,25,250,2,2,0.0663701924447265,0.0019873958280164,3,"""17,18,19""",23.9355951944987,23.9369961420695,35.16736698150635,0.077795447781682,0.0857047419995069,1.893659730752309,4.809233824412028,0.0049848524950974,0.2057326630585,216.717666626,6.073098699252223,0.0011799880028574,0.0689948365713277,0.6288923107914721
2012-03-07T12:00:00,22.75,158,45,250,2,2,0.054945569122575,0.0064493318752981,3,"""14,15,16""",23.67701594034831,24.14870802561442,35.16658687591553,0.0704774716868996,0.089988241593043,1.8608462313810985,4.877778331438701,0.0103009354631739,0.2053988780825416,217.34213002512504,6.086991846561666,0.0012940741265387,0.0861075214731541,0.6744863614439582
2012-03-07T12:00:00,22.75,158,75,250,2,2,0.0311322062114472,0.0041144843539967,3,"""11,12,13""",23.21937465667725,24.44541533788045,35.15126005808512,0.1210381550093491,0.0777733971675237,2.907598833243052,4.8088581164677935,0.1254365893967647,0.2112182999649166,218.7799453735,6.1712797085433335,0.001791523779198,0.154172828731475,0.75156710545225
2012-03-07T12:00:00,22.75,158,100,250,2,2,0.0129496750198824,0.0040764297717221,3,"""8,9,10""",22.6903612613678,24.716423749923703,35.13061714172363,0.1066123710479587,0.1029539750888943,1.9621686935424805,4.762354612350464,,,,,,,
2012-03-07T12:00:00,22.75,158,125,250,2,2,0.0034694216825912,0.001388763396684,3,"""5,6,7""",21.61002492904663,25.108999252319336,35.068328857421875,0.6932287365198135,0.1662111245095729,2.8389979004859924,4.635516047477722,,,,,,,
2012-04-06T12:00:00,22.75,158,5,251,2,1,0.0519254581046545,0.0050910811960636,3,"""21,22,23""",24.90570592880249,23.28218285242717,35.08220100402832,0.229195274412632,0.1240728441625833,7.946786999702454,4.834110180536906,5.65567725215e-05,0.1749841254204166,219.2381550471042,6.321683943268959,0.0006233581613438,0.0380609182951395,0.5395627965528541
2012-04-06T12:00:00,22.75,158,25,251,2,1,0.0796177620631969,0.0042409905506288,3,"""17,18,19""",24.49159638086955,23.47887961069743,35.07328255971273,0.1099516072620948,0.111481404552857,6.379381537437439,4.867299159367879,9.49558789152e-05,0.1748337025442777,219.7674128213889,6.311576366424444,0.0005375287275653,0.0413941389156666,0.5382837603488889
2012-04-06T12:00:00,22.75,158,45,251,2,1,0.0446947188454123,0.0139574232617248,3,"""14,15,16""",23.925275961558025,23.78834613164266,35.10794544219971,0.0138196845388544,0.075192818728586,5.12958550453186,4.912206212679545,0.0005130174394597,0.1741662546991667,220.69843800866667,6.319244662920833,0.0005792291437198,0.0509004294872583,0.5530971263845833
2012-04-06T12:00:00,22.75,158,75,251,2,1,0.0500734931315647,0.0032088165195542,3,"""11,12,13""",23.02549473444621,24.24262968699137,35.128652254740395,0.0257435772606792,0.0547199643527468,6.9798232316970825,4.898874878883362,0.0312435568175401,0.1697106684246666,228.47567494683332,6.409338235855,0.0017038124933611,0.1292769536376166,0.7595510284114999
2012-04-06T12:00:00,22.75,158,100,251,2,1,0.0059728370611213,0.0007115904355761,3,"""8,9,10""",22.273235082626343,24.56357288360596,35.12171411514282,0.096837502438575,0.0546198906376957,6.7344029545784,4.886703431606293,,,,,,,
2012-04-06T12:00:00,22.75,158,125,251,2,1,0.0044145651697109,0.0013367363221204,3,"""5,6,7""",21.1920223236084,24.957868576049805,35.05572509765625,0.1409944090992212,0.0644573736935854,7.233891725540161,4.821427583694458,,,,,,,
2012-05-18T12:00:00,22.75,158,5,252,2,2,0.1033794631379049,0.0330507028437527,3,"""22,23,24""",26.343444029490158,23.05984401702881,35.09527333577474,0.1702617357174555,0.1292765842129787,0.981614554921786,4.698697209358215,3.567055557596042e-07,0.1736979552855,214.3784615197917,6.467112571002917,0.000793483692784,0.0323744614142895,0.6151230136553544
2012-05-18T12:00:00,22.75,158,25,252,2,2,0.091555542882446,0.0052446672521909,3,"""18,19,20""",25.668716589609783,23.41070286432902,35.122045834859215,0.1813827914496263,0.132218632226189,0.745832122862339,4.775883515675862,6.864586844636111e-07,0.1716227721837222,219.18394385438887,6.545811255772222,0.0004627192732488,0.0338774420734888,0.5527189307742778
2012-05-18T12:00:00,22.75,158,45,252,2,2,0.1157227186000719,0.0228977906353945,3,"""15,16,17""",24.516127427419026,23.74952761332194,35.13768513997396,0.2188914865255355,0.1232778659711281,0.8979228834311167,4.86290196577708,1.1645533296e-06,0.1684951012334166,221.80033365883327,6.636965195339166,0.0003393478327779,0.0375525665779916,0.5100541214149167
2012-05-18T12:00:00,22.75,158,75,252,2,2,0.0379288189065702,0.0059987765957781,3,"""12,13,14""",23.04690249760945,24.2683842976888,35.121917724609375,0.1994682177901268,0.1083305409799019,0.9608849088350933,4.906702558199565,0.0016586833031995,0.1636412267883333,232.54278818783337,6.877041339873333,0.0004634346648041,0.0577267811944166,0.5229695240655
2012-05-18T12:00:00,22.75,158,100,252,2,2,0.01233136083074,0.0019618989502119,3,"""9,10,11""",22.093741178512573,24.63328433036804,35.08419847488403,0.2732849940657615,0.1349064009264111,1.3555280938744545,4.855702877044678,,,,,,,
2012-05-18T12:00:00,22.75,158,125,252,2,2,0.0063196181041169,0.0015564384383603,3,"""6,7,8""",20.98337316513061,25.054359912872314,35.03624629974365,0.6987316608428955,0.1687153503298759,1.6143748462200165,4.81311297416687,,,,,,,
2012-05-30T12:00:00,22.75,158,5,242,2,1,0.1442746137093427,0.0426064924494583,3,"""20,21,22""",26.343444029490158,23.05984401702881,35.09527333577474,0.1702617357174555,0.1292765842129787,0.981614554921786,4.698697209358215,3.4029092136712493e-07,0.1709457503941771,211.88979625695836,6.53979184726906,0.0008917579919701,0.0331292156285312,0.6315138631810521
2012-05-30T12:00:00,22.75,158,25,242,2,1,0.0857162684686831,0.0037698755114828,3,"""17,18,19""",25.668716589609783,23.41070286432902,35.122045834859215,0.1813827914496263,0.132218632226189,0.745832122862339,4.775883515675862,6.773452917564165e-07,0.1683487043611388,219.37527762522225,6.645076526535835,0.0004687242156555,0.0340636030046444,0.5482257786724445
2012-05-30T12:00:00,22.75,158,45,242,2,1,0.0796380323159626,0.0293467312960305,3,"""14,15,16""",24.516127427419026,23.74952761332194,35.13768513997396,0.2188914865255355,0.1232778659711281,0.8979228834311167,4.86290196577708,1.1261856845e-06,0.1669126904259583,222.51003074645837,6.69489290316875,0.0003314875430078,0.0373485038677916,0.5052315903205417
2012-05-30T12:00:00,22.75,158,75,242,2,1,0.0618492477858544,0.0138875298603669,3,"""11,12,13""",23.04690249760945,24.2683842976888,35.121917724609375,0.1994682177901268,0.1083305409799019,0.9608849088350933,4.906702558199565,0.0011097837168562,0.16277096420525,232.4653256733333,6.930594682694167,0.0003985012081102,0.055671938695025,0.5182598605751667
2012-05-30T12:00:00,22.75,158,100,242,2,1,0.0107300268247541,0.0011873209081786,3,"""8,9,10""",22.093741178512573,24.63328433036804,35.08419847488403,0.2732849940657615,0.1349064009264111,1.3555280938744545,4.855702877044678,,,,,,,
2012-05-30T12:00:00,22.75,158,125,242,2,1,0.00694595065058,0.0026082667784237,3,"""5,6,7""",20.98337316513061,25.054359912872314,35.03624629974365,0.6987316608428955,0.1687153503298759,1.6143748462200165,4.81311297416687,,,,,,,
2012-06-25T12:00:00,22.75,158,5,243,2,1,,,3,"""22,23,24""",28.018999099731445,22.616081555684406,35.14667574564616,0.1330190890779098,0.0974476871391137,1.113712151845296,4.653751730918884,3.732420209937916e-07,0.1821254119275417,206.59981600452087,6.307993570963333,0.0011869220713079,0.0356339275992166,0.6417748021581876
2012-06-25T12:00:00,22.75,158,25,243,2,1,,,3,"""18,19,20""",27.17779000600179,23.01641050974528,35.15785884857178,0.1228985066215197,0.0966446424523989,0.700773095091184,4.882584810256958,7.139250360270001e-07,0.1760362005897222,214.6296785142222,6.411099884245,0.0006202127519321,0.0375996101647666,0.5641357435121667
2012-06-25T12:00:00,22.75,158,45,243,2,1,,,3,"""15,16,17""",25.60286744435628,23.548800786336265,35.146721839904785,0.1294713715712229,0.0770308425029118,0.6516574819882711,5.059176921844482,1.0887489925e-06,0.1689665094016666,221.1157951355833,6.591663757960833,0.0003826366034143,0.0408375815798833,0.5220458606879167
2012-06-25T12:00:00,22.75,158,75,243,2,1,,,3,"""12,13,14""",23.70785999298096,24.21323521931966,35.12192408243815,0.0970283634960651,0.0646551577374339,0.7615076303482056,5.02033793926239,0.0001523938153695,0.1627264892061667,235.3449961343333,6.936920166015,0.0002886918615936,0.0492428975800499,0.4621855020523333
2012-06-25T12:00:00,22.75,158,100,243,2,1,,,3,"""9,10,11""",22.598713636398315,24.61601734161377,35.1121826171875,0.1306271106004715,0.07347256783396,0.6406964212656021,5.053498566150665,,,,,,,
2012-06-25T12:00:00,22.75,158,125,243,2,1,,,3,"""6,7,8""",21.31582260131836,24.99415063858032,35.054819107055664,0.2053447552025318,0.0945221222937107,0.4223103299736976,4.848522901535034,,,,,,,
2012-08-18T12:00:00,22.75,158,5,245,2,1,0.0749753415818571,0.0029436536796936,3,"""20,21,22""",28.33073345820109,22.225776354471844,34.97808361053467,0.0111766173164748,0.1306919548660516,2.0645491778850555,4.367729822794597,4.542666551070208e-07,0.1794256555538333,207.4732030232708,6.385897964241042,0.0010181075728415,0.0382359913395062,0.6312840282917916
2012-08-18T12:00:00,22.75,158,25,245,2,1,0.0722829257589759,0.008686383589877,3,"""17,18,19""",28.104793548583984,22.500311374664307,35.03391075134277,0.0130128433035376,0.122758196045955,2.388223886489868,4.509747703870137,8.461651709189445e-07,0.178353757494,210.99248335094444,6.437004062866111,0.000630632295118,0.0410713739693222,0.5643820928202222
2012-08-18T12:00:00,22.75,158,45,245,2,1,0.0553514578984105,0.0013575857478925,3,"""14,15,16""",26.591780026753742,23.279419740041096,35.12818145751953,0.00857880335631,0.1014317044367392,2.4399866859118142,4.7182521025339765,1.3049734282e-06,0.1722076137860833,222.0162467956667,6.646823922793334,0.000368832448051,0.0445827630659,0.51193295419225
2012-08-18T12:00:00,22.75,158,75,245,2,1,0.0241763810186958,0.0003836151884544,3,"""11,12,13""",23.665801525115967,24.30265458424886,35.13670094807943,0.0152219044587885,0.0807293684532245,2.3096701900164285,4.790885170300801,6.34143095036e-05,0.166309595108,235.0211410523333,6.954091389973333,0.0002642724139151,0.0534585627416833,0.4740688155093333
2012-08-18T12:00:00,22.75,158,100,245,2,1,0.0073067409259493,0.0009395608391848,3,"""8,9,10""",22.24164891242981,24.755518436431885,35.08489418029785,1.7885141521692276,0.1326820515096187,4.105915397405624,4.739921510219574,,,,,,,
2012-08-18T12:00:00,22.75,158,125,245,2,1,0.0039052614717695,0.0002923838573094,3,"""5,6,7""",21.00135707855225,25.191495895385746,35.01128005981445,2.4417044520378117,0.3077079504728317,3.807386636734009,4.581838726997376,,,,,,,
2012-09-14T12:00:00,22.75,158,5,246,2,1,0.0441597588934283,0.0043626458251639,3,"""22,23,24""",28.577893098195396,22.127257188161213,34.97689119974772,0.3859566499789555,0.0756707694381475,3.812902053197225,4.558753132820129,4.7551781120110427e-07,0.1794735658913333,207.74221007031247,6.188766847054374,0.0010617384517304,0.0392819611200395,0.6344336308540209
2012-09-14T12:00:00,22.75,158,25,246,2,1,0.0357307442748386,0.0065872400893984,3,"""19,20,21""",28.40864086151123,22.285947799682617,34.984524408976235,0.3475436717271805,0.077258569188416,3.757777233918508,4.555188139279683,7.567322326293332e-07,0.1780488201312222,211.5698310004444,6.276395373873889,0.0006702138440838,0.0417958994706444,0.5828463170263334
2012-09-14T12:00:00,22.75,158,45,246,2,1,0.0347317575341543,0.0048801211526652,3,"""16,17,18""",27.39621655146281,22.96915912628174,35.041969299316406,0.3881790339946747,0.0779638526340325,3.8322121302286782,4.728069504102071,1.2880809758e-06,0.17452198391175,222.27914555875,6.432422359784167,0.0003751471764795,0.0455933874472999,0.5128268500168334
2012-09-14T12:00:00,22.75,158,75,246,2,1,0.0243733317804137,0.00516945112515,3,"""13,14,15""",24.371207396189373,24.19003200531006,35.080777168273926,0.4405775368213653,0.0549670637895663,3.954333603382111,4.924308657646179,0.0001868108010967,0.168842472136,236.1401189166667,6.721485614776667,0.0003057996121545,0.0594114617754999,0.4946926385164999
2012-09-14T12:00:00,22.75,158,100,246,2,1,0.0075627331525009,0.0004715016413425,3,"""10,11,12""",22.641310214996334,24.74072289466858,35.04466962814331,0.553490050137043,0.1125887827947735,4.962198376655579,4.866184949874878,,,,,,,
2012-09-14T12:00:00,22.75,158,125,246,2,1,0.0023341947747278,0.0003880011447817,3,"""7,8,9""",21.089372158050537,25.21621084213257,34.983168601989746,1.9240898787975311,0.2366049624979496,5.272627949714661,4.825966358184815,,,,,,,
2012-10-18T12:00:00,22.75,158,5,247,2,1,0.0386779648970361,0.0157080891291949,3,"""19,20,21""",28.26882568995158,22.34656318028768,34.94720268249512,0.1588314324617386,0.0253505231036494,1.2361018111308415,4.572935859362285,7.189285966547708e-07,0.1932759101812916,207.4228518804792,6.044233878451666,0.0010357637002013,0.0418900223448854,0.5994996738930835
2012-10-18T12:00:00,22.75,158,25,247,2,1,0.0487807919586733,0.0045154118916306,3,"""16,17,18""",28.232665061950684,22.48513348897298,34.98157437642416,0.2608867262800534,0.0225638474027315,1.345231036345164,4.442581454912822,8.15411564442611e-07,0.1931370397406666,207.74644300672225,6.0431381331527785,0.0007502636581193,0.0426182241903499,0.5868904193242778
2012-10-18T12:00:00,22.75,158,45,247,2,1,0.0460853017927567,0.0052287948231857,3,"""13,14,15""",27.9357590675354,22.74995009104411,35.04548327128092,0.5001904206971327,0.0204316986879954,1.4537680943806963,4.35859739780426,1.3737488491e-06,0.1873014296095,212.8583310445,6.0770899852125,0.0005194864449245,0.0470229620114083,0.53157591819775
2012-10-18T12:00:00,22.75,158,75,247,2,1,0.0248587806056494,0.0063648038911587,3,"""10,11,12""",25.07415533065796,23.946589469909668,35.09354623158773,0.1896149944514036,0.0362747306935489,0.8681474328041077,4.582027991612752,7.5398903239e-06,0.1738074521225,229.267888387,6.236905177435001,0.0002794682804963,0.0556039270013666,0.4731360723575
2012-10-18T12:00:00,22.75,158,100,247,2,1,0.0062288264530251,0.0016900210944304,3,"""7,8,9""",23.188327074050903,24.52310562133789,35.07948064804077,0.3668812401592731,0.0690055792219936,1.5798380076885223,4.689145922660828,,,,,,,
2012-10-18T12:00:00,22.75,158,125,247,2,1,0.0023631963925502,0.0002059426534158,3,"""4,5,6""",21.29212713241577,25.04145336151123,35.024800300598145,1.1036668717861176,0.1079057231545448,1.4562746584415436,4.694607377052307,,,,,,,
2012-12-04T12:00:00,22.75,158,5,248,2,1,0.0612911356907802,0.0018371689157574,3,"""20,21,22""",26.39343849817912,23.055429458618164,34.97746721903483,0.1381560781349738,0.026952999488761,1.201007843017578,4.682853142420451,1.1213427271e-06,0.1975669230644583,211.75195312491664,6.30838739872,0.0007086691202857,0.0441689134653135,0.5578588160375105
2012-12-04T12:00:00,22.75,158,25,248,2,1,0.0388999918108606,,3,"""17,18,19""",26.364737033843998,23.163270155588787,34.994703928629555,0.2153139449656009,0.0387262824612359,1.5106037159760792,4.54653016726176,1.1905684118e-06,0.1974931508302222,211.71436733663893,6.309151490530001,0.000543456725912,0.0448960264523777,0.5500203006797223
2012-12-04T12:00:00,22.75,158,45,248,2,1,0.0180205616589113,0.0056945088129372,3,"""14,15,16""",26.31958262125651,23.283101081848145,35.002064069112144,0.4037248169382413,0.0332105870669086,1.516848733027776,4.562684814135234,1.5834685929e-06,0.1974306808163333,211.7594127655,6.3105434775354174,0.0004647582148512,0.0461028733601125,0.53824940323825
2012-12-04T12:00:00,22.75,158,75,248,2,1,0.0101474537146109,0.0031046257072505,3,"""11,12,13""",25.416661262512207,23.914166291554768,35.00336996714274,0.2152607602377732,0.1052384134382009,0.8176613450050354,4.681196093559265,0.0069841554297928,0.1883109994234166,227.93544133491665,6.577729821204166,0.0006318305701517,0.0744768079991083,0.5268351236978334
2012-12-04T12:00:00,22.75,158,100,248,2,1,0.0020716304591408,0.0007344671362221,3,"""8,9,10""",23.56821370124817,24.587645292282104,34.99207639694214,0.3905990533530712,0.2399927023798227,1.4906001687049866,4.6215028166770935,,,,,,,
2012-12-04T12:00:00,22.75,158,125,248,2,1,0.0009678089909877,0.0002533831726553,3,"""5,6,7""",21.081584453582764,25.25009632110596,34.958322525024414,0.9265414923429488,0.0929790325462818,1.3252748847007751,4.737175941467285,,,,,,,
