time,lat,lon,depth,cast,station,sample,C14_assimilation,CMAP_sea_water_temp_WOA_clim_tblWOA_Climatology,CMAP_density_WOA_clim_tblWOA_Climatology,CMAP_salinity_WOA_clim_tblWOA_Climatology,CMAP_nitrate_WOA_clim_tblWOA_Climatology,CMAP_phosphate_WOA_clim_tblWOA_Climatology,CMAP_silicate_WOA_clim_tblWOA_Climatology,CMAP_oxygen_WOA_clim_tblWOA_Climatology,CMAP_NO3_tblPisces_NRT,CMAP_PO4_tblPisces_NRT,CMAP_O2_tblPisces_NRT,CMAP_Si_tblPisces_NRT,CMAP_PP_tblPisces_NRT,CMAP_CHL_tblPisces_NRT,CMAP_PHYC_tblPisces_NRT
2016-03-25T19:00:00,22.40225,-156.594483,150,1,7,150m A,0.0011211919618814,20.75780868530273,25.32248878479004,35.14351272583008,1.749138355255127,0.2130912244319915,2.112970352172852,4.623866558074951,,,,,,,
2016-03-25T19:00:00,22.40225,-156.594483,150,1,7,150m B,0.0036900328788401,20.75780868530273,25.32248878479004,35.14351272583008,1.749138355255127,0.2130912244319915,2.112970352172852,4.623866558074951,,,,,,,
2016-03-25T19:00:00,22.40225,-156.594483,150,1,7,150m C,0.0006053992509208,20.75780868530273,25.32248878479004,35.14351272583008,1.749138355255127,0.2130912244319915,2.112970352172852,4.623866558074951,,,,,,,
2016-03-25T19:00:00,22.40225,-156.594483,175,1,7,175m A,,19.604591369628903,25.69212913513184,35.057586669921875,2.242262363433838,0.2859134078025818,2.585165023803711,4.5806884765625,,,,,,,
2016-03-25T19:00:00,22.40225,-156.594483,175,1,7,175m B,,19.604591369628903,25.69212913513184,35.057586669921875,2.242262363433838,0.2859134078025818,2.585165023803711,4.5806884765625,,,,,,,
2016-03-25T19:00:00,22.40225,-156.594483,175,1,7,175m C,,19.604591369628903,25.69212913513184,35.057586669921875,2.242262363433838,0.2859134078025818,2.585165023803711,4.5806884765625,,,,,,,
2016-03-25T19:00:00,22.40225,-156.594483,250,1,7,250m A,0.0056101629792357,15.52510929107666,26.682861328125,34.55060958862305,6.376763820648193,0.5747724175453186,6.283299446105957,4.545773506164551,,,,,,,
2016-03-25T19:00:00,22.40225,-156.594483,250,1,7,250m B,0.0009298461286057,15.52510929107666,26.682861328125,34.55060958862305,6.376763820648193,0.5747724175453186,6.283299446105957,4.545773506164551,,,,,,,
2016-03-25T19:00:00,22.40225,-156.594483,250,1,7,250m C,0.0012565968826113,15.52510929107666,26.682861328125,34.55060958862305,6.376763820648193,0.5747724175453186,6.283299446105957,4.545773506164551,,,,,,,
2016-03-25T19:00:00,22.40225,-156.594483,300,1,7,300m A,0.0020896997211137,12.740209579467772,27.277734756469727,34.27988815307617,10.567188262939451,0.8560647368431091,10.319791793823242,4.480972290039063,,,,,,,
2016-03-25T19:00:00,22.40225,-156.594483,300,1,7,300m B,0.0086458088574796,12.740209579467772,27.277734756469727,34.27988815307617,10.567188262939451,0.8560647368431091,10.319791793823242,4.480972290039063,,,,,,,
2016-03-25T19:00:00,22.40225,-156.594483,300,1,7,300m C,0.003251631586779,12.740209579467772,27.277734756469727,34.27988815307617,10.567188262939451,0.8560647368431091,10.319791793823242,4.480972290039063,,,,,,,
2016-03-25T19:00:00,22.40225,-156.594483,500,1,7,500m A,0.0005713881004554,7.08558988571167,28.99131202697754,34.080787658691406,29.76877784729004,2.281682014465332,46.89200592041016,2.3490471839904785,,,,,,,
2016-03-25T19:00:00,22.40225,-156.594483,500,1,7,500m B,0.0031292655467638,7.08558988571167,28.99131202697754,34.080787658691406,29.76877784729004,2.281682014465332,46.89200592041016,2.3490471839904785,,,,,,,
2016-03-25T19:00:00,22.40225,-156.594483,500,1,7,500m C,0.0078098799694517,7.08558988571167,28.99131202697754,34.080787658691406,29.76877784729004,2.281682014465332,46.89200592041016,2.3490471839904785,,,,,,,
2016-03-25T19:00:00,22.40225,-156.594483,750,1,7,750m A,,4.864590167999268,30.653417587280277,34.32618713378906,,,,0.6970717310905457,,,,,,,
2016-03-25T19:00:00,22.40225,-156.594483,750,1,7,750m B,,4.864590167999268,30.653417587280277,34.32618713378906,,,,0.6970717310905457,,,,,,,
2016-03-25T19:00:00,22.40225,-156.594483,750,1,7,750m C,,4.864590167999268,30.653417587280277,34.32618713378906,,,,0.6970717310905457,,,,,,,
2016-03-27T19:47:00,22.5556,-156.537533,150,1,19,150m A,0.0071846685175139,20.75780868530273,25.32248878479004,35.14351272583008,1.749138355255127,0.2130912244319915,2.112970352172852,4.623866558074951,,,,,,,
2016-03-27T19:47:00,22.5556,-156.537533,150,1,19,150m B,0.0157570805886507,20.75780868530273,25.32248878479004,35.14351272583008,1.749138355255127,0.2130912244319915,2.112970352172852,4.623866558074951,,,,,,,
2016-03-27T19:47:00,22.5556,-156.537533,150,1,19,150m C,,20.75780868530273,25.32248878479004,35.14351272583008,1.749138355255127,0.2130912244319915,2.112970352172852,4.623866558074951,,,,,,,
2016-03-27T19:47:00,22.5556,-156.537533,175,1,19,175m A,0.0068314967032374,19.604591369628903,25.69212913513184,35.057586669921875,2.242262363433838,0.2859134078025818,2.585165023803711,4.5806884765625,,,,,,,
2016-03-27T19:47:00,22.5556,-156.537533,175,1,19,175m B,0.0015762932827591,19.604591369628903,25.69212913513184,35.057586669921875,2.242262363433838,0.2859134078025818,2.585165023803711,4.5806884765625,,,,,,,
2016-03-27T19:47:00,22.5556,-156.537533,175,1,19,175m C,0.0060929559955479,19.604591369628903,25.69212913513184,35.057586669921875,2.242262363433838,0.2859134078025818,2.585165023803711,4.5806884765625,,,,,,,
2016-03-27T19:47:00,22.5556,-156.537533,250,1,19,250m A,0.0004395474334359,15.52510929107666,26.682861328125,34.55060958862305,6.376763820648193,0.5747724175453186,6.283299446105957,4.545773506164551,,,,,,,
2016-03-27T19:47:00,22.5556,-156.537533,250,1,19,250m B,0.0006223232101963,15.52510929107666,26.682861328125,34.55060958862305,6.376763820648193,0.5747724175453186,6.283299446105957,4.545773506164551,,,,,,,
2016-03-27T19:47:00,22.5556,-156.537533,250,1,19,250m C,0.0043918073854354,15.52510929107666,26.682861328125,34.55060958862305,6.376763820648193,0.5747724175453186,6.283299446105957,4.545773506164551,,,,,,,
2016-03-27T19:47:00,22.5556,-156.537533,300,1,19,300m A,0.0004501340709023,12.740209579467772,27.277734756469727,34.27988815307617,10.567188262939451,0.8560647368431091,10.319791793823242,4.480972290039063,,,,,,,
2016-03-27T19:47:00,22.5556,-156.537533,300,1,19,300m B,0.0003262644537604,12.740209579467772,27.277734756469727,34.27988815307617,10.567188262939451,0.8560647368431091,10.319791793823242,4.480972290039063,,,,,,,
2016-03-27T19:47:00,22.5556,-156.537533,300,1,19,300m C,0.001957437135207,12.740209579467772,27.277734756469727,34.27988815307617,10.567188262939451,0.8560647368431091,10.319791793823242,4.480972290039063,,,,,,,
2016-03-27T19:47:00,22.5556,-156.537533,500,1,19,500m A,0.0028900156823405,7.08558988571167,28.99131202697754,34.080787658691406,29.76877784729004,2.281682014465332,46.89200592041016,2.3490471839904785,,,,,,,
2016-03-27T19:47:00,22.5556,-156.537533,500,1,19,500m B,0.000272498896767,7.08558988571167,28.99131202697754,34.080787658691406,29.76877784729004,2.281682014465332,46.89200592041016,2.3490471839904785,,,,,,,
2016-03-27T19:47:00,22.5556,-156.537533,500,1,19,500m C,0.0036437148233524,7.08558988571167,28.99131202697754,34.080787658691406,29.76877784729004,2.281682014465332,46.89200592041016,2.3490471839904785,,,,,,,
2016-03-27T19:47:00,22.5556,-156.537533,750,1,19,750m A,,4.864590167999268,30.653417587280277,34.32618713378906,,,,0.6970717310905457,,,,,,,
2016-03-27T19:47:00,22.5556,-156.537533,750,1,19,750m B,0.0002740323683621,4.864590167999268,30.653417587280277,34.32618713378906,,,,0.6970717310905457,,,,,,,
2016-03-27T19:47:00,22.5556,-156.537533,750,1,19,750m C,0.0003656086065615,4.864590167999268,30.653417587280277,34.32618713378906,,,,0.6970717310905457,,,,,,,
