time,lat,lon,depth,year,julian_day,temp,sal,pCO2,CO2_aq,TA_meas,TA_sd,DIC_cal,pH,NO3_NO2_diss_avg,NO3_NO2_diss_stdev,SiO4_diss_avg,SiO4_diss_stdev,PO4_diss_avg,PO4_diss_stdev,Chl_a_avg,Chl_a_stdev,NPP_14C_avg,NPP_14C_stdev,GPP_14C_avg,GPP_14C_stdev,GPP_18O_avg,GPP_18O_stdev,NPP_O2_Ar_avg,NPP_O2_Ar_stdev,POC,PON,C_N,POC_d13C,Protein,Rubisco,Fuco,HexFuc19,Allox,diatom,Phaeo,Cryptophyte,eCA,fHCO3_avg,fHCO3_stdev,K1_2_CO2_avg,K1_2_CO2_stdev,CMAP_sea_water_temp_WOA_clim_tblWOA_Climatology,CMAP_density_WOA_clim_tblWOA_Climatology,CMAP_salinity_WOA_clim_tblWOA_Climatology,CMAP_nitrate_WOA_clim_tblWOA_Climatology,CMAP_phosphate_WOA_clim_tblWOA_Climatology,CMAP_silicate_WOA_clim_tblWOA_Climatology,CMAP_oxygen_WOA_clim_tblWOA_Climatology,CMAP_NO3_tblPisces_NRT,CMAP_PO4_tblPisces_NRT,CMAP_O2_tblPisces_NRT,CMAP_Si_tblPisces_NRT,CMAP_PP_tblPisces_NRT,CMAP_CHL_tblPisces_NRT,CMAP_PHYC_tblPisces_NRT
2012-10-31T00:00:00,-64.7795,-64.0725,10,2012,304,-1.45,,,,,,,,21.95,0.99,38.3,0.89,1.53,0.09,1.17,0.01,1.24,0.08,1.77,0.31,,,,,,,,,,,0.34,0.24,0.01,0.3,0.3,0.01,,,,,,-1.8767846822738647,27.428373336791992,34.07322565714518,21.7773494720459,1.445716937383016,86.76935577392578,7.638653914133708,14.528566350538542,1.1584540170925208,399.7091178894168,21.980494916447917,0.0662737604773791,4.86018117268875,22.39194140832292
2012-11-02T00:00:00,-64.7795,-64.0725,10,2012,307,,,414.5,27.6,2372.0,2.0,2267.0,8.02,28.56,0.09,54.27,1.78,1.93,0.13,1.37,0.02,1.22,0.1,1.55,0.37,,,,,8.46,1.22,6.96,-26.4,,,0.49,0.11,0.0,0.44,0.14,0.0,,,,,,-1.1602033774058025,27.395901997884117,33.99503326416016,24.96020380655925,1.4596728086471558,56.63067626953125,7.362814267476399,13.184885799885416,1.0736150965096247,411.9762115479167,17.782650431008335,0.0832462177301166,6.4620701869325,29.387510577837503
2012-11-07T00:00:00,-64.7795,-64.0725,10,2012,312,-1.43,33.9,399.5,26.6,2375.0,10.0,2259.0,8.04,23.35,1.61,52.15,6.68,1.63,0.24,4.26,0.03,4.73,0.27,4.95,0.26,24.35,0.98,-3.3,0.46,15.07,2.82,5.34,-24.0,114.2,13.28,2.07,0.02,0.01,1.86,0.03,0.0,13.16,0.37,0.17,3.4,1.1,-1.1602033774058025,27.395901997884117,33.99503326416016,24.96020380655925,1.4596728086471558,56.63067626953125,7.362814267476399,12.440989961226668,1.0273329056801668,409.6869640351459,16.745292166866665,0.0736090818342333,5.653671041130835,26.27647258838125
2012-11-11T00:00:00,-64.7795,-64.0725,10,2012,316,-1.1,34.0,407.1,26.8,2379.0,1.0,2271.0,8.03,22.56,3.49,53.41,6.42,1.45,0.01,6.34,0.05,15.41,3.43,22.27,5.68,,,,,24.82,4.47,5.56,-23.3,168.9,17.21,2.68,0.0,0.01,2.41,,0.01,12.43,0.05,0.58,4.9,2.0,-1.1602033774058025,27.395901997884117,33.99503326416016,24.96020380655925,1.4596728086471558,56.63067626953125,7.362814267476399,11.697094122567918,0.9810507148507084,407.3977165223751,15.707933902725,0.06397194593835,4.845271895329168,23.165434598925003
2012-11-14T00:00:00,-64.7795,-64.0725,10,2012,319,-1.31,33.9,365.7,24.3,2379.0,6.0,2252.0,8.07,20.3,0.12,46.15,0.27,1.42,0.01,3.1,0.44,7.14,0.96,4.6,1.44,17.58,0.29,10.97,20.79,13.68,2.72,5.03,-25.1,130.5,13.69,1.7,0.0,0.02,1.53,,0.01,,0.05,0.27,3.0,0.9,-1.1602033774058025,27.395901997884117,33.99503326416016,24.96020380655925,1.4596728086471558,56.63067626953125,7.362814267476399,11.050853123265629,0.9409638618430418,407.0179456075626,14.555971205226667,0.0519171793421268,4.818687801559585,21.463283439475
2012-11-19T00:00:00,-64.7795,-64.0725,10,2012,324,-1.21,33.8,288.2,19.1,2377.0,3.0,2215.0,8.17,23.22,0.01,56.53,2.42,1.48,0.08,7.03,0.57,23.74,0.8,7.95,1.75,33.05,11.14,22.96,4.03,18.85,4.95,3.81,-23.1,241.0,21.51,3.15,0.0,0.02,2.83,,0.01,11.18,0.05,0.44,4.43,2.1,-1.1602033774058025,27.395901997884117,33.99503326416016,24.96020380655925,1.4596728086471558,56.63067626953125,7.362814267476399,10.404612123963334,0.900877008835375,406.63817469275,13.404008507728337,0.0398624127459037,4.792103707790001,19.761132280025
2012-11-23T00:00:00,-64.7795,-64.0725,10,2012,328,-1.13,33.9,369.3,24.3,2381.0,13.0,2256.0,8.07,21.91,4.22,55.33,10.06,1.52,0.26,6.25,0.08,19.0,1.37,4.41,0.87,,,,,17.24,3.97,4.34,-21.0,85.1,17.56,3.42,0.0,0.01,3.08,,0.0,16.78,0.05,0.62,3.05,0.9,-1.1602033774058025,27.395901997884117,33.99503326416016,24.96020380655925,1.4596728086471558,56.63067626953125,7.362814267476399,7.405125002072083,0.71083248779175,417.87188847862507,9.7164063056375,0.0654034103887291,5.925894955794166,25.3395241101625
2012-11-27T00:00:00,-64.7795,-64.0725,10,2012,332,-0.55,33.8,176.1,11.3,2390.0,1.0,2134.0,8.35,10.02,1.04,49.17,2.31,0.54,0.04,26.24,0.77,25.2,3.17,12.65,1.77,103.14,3.52,92.44,3.94,79.33,15.53,5.11,-20.2,557.5,18.13,9.75,0.0,0.01,8.77,,0.01,23.37,0.78,0.06,3.81,0.84,-1.1602033774058025,27.395901997884117,33.99503326416016,24.96020380655925,1.4596728086471558,56.63067626953125,7.362814267476399,7.486103907229793,0.7168576909850208,419.3371988932292,10.34326176345646,0.0769373627068708,6.193523024519166,27.158865273004167
2012-11-30T00:00:00,-64.7795,-64.0725,10,2012,335,-0.4,33.8,101.9,6.5,2392.0,9.0,2024.0,8.55,4.59,0.01,50.3,1.23,0.32,0.0,45.09,3.99,48.46,13.04,58.49,8.67,,,,,95.11,19.73,4.82,-20.1,1171.5,14.94,21.29,0.0,0.01,19.16,,0.0,15.65,0.86,0.03,3.85,0.49,-1.1602033774058025,27.395901997884117,33.99503326416016,24.96020380655925,1.4596728086471558,56.63067626953125,7.362814267476399,7.5670828123875005,0.7228828941782917,420.80250930783336,10.970117221275416,0.0884713150250124,6.461151093244166,28.978206435845838
2012-12-04T00:00:00,-64.7795,-64.0725,10,2012,339,,,226.3,14.5,2348.0,6.0,2159.0,8.26,17.93,0.73,54.74,1.24,1.39,0.01,10.62,0.54,20.21,2.61,4.78,0.7,73.0,1.56,66.1,6.44,31.93,6.86,4.65,-22.0,223.2,13.55,6.26,0.0,0.02,5.64,,0.01,13.79,0.44,0.05,5.2,1.98,-0.2959766785303752,27.173682530721027,33.7469367980957,20.43125279744466,1.4472439686457317,78.8816630045573,8.068888028462728,6.631643530911437,0.6623846090707918,428.3163820902291,9.999063943821666,0.0960301932257687,7.289675300320624,33.48734805981875
2012-12-07T00:00:00,-64.7795,-64.0725,10,2012,342,-0.64,34.0,226.5,14.6,2357.0,6.0,2164.0,8.26,12.29,0.09,56.53,3.94,0.85,0.01,21.64,0.58,21.81,7.48,25.2,12.8,,,,,48.84,11.44,4.27,-20.1,461.0,16.13,4.55,0.0,0.01,4.1,,0.0,16.47,0.08,0.52,,,-0.2959766785303752,27.173682530721027,33.7469367980957,20.43125279744466,1.4472439686457317,78.8816630045573,8.068888028462728,5.696204249435375,0.6018863239632917,435.83025487262495,9.028010666367916,0.103589071426525,8.118199507397081,37.99648968379167
2012-12-10T00:00:00,-64.7795,-64.0725,10,2012,345,-0.38,34.1,210.6,13.4,2359.0,3.0,2149.0,8.28,11.51,0.31,57.86,4.39,0.8,0.04,9.52,0.45,78.02,8.77,130.07,24.87,66.6,9.11,70.02,8.96,70.44,14.32,4.92,-19.2,228.6,14.6,2.04,0.0,0.01,1.84,,0.01,18.46,0.75,0.11,6.4,0.6,-0.2959766785303752,27.173682530721027,33.7469367980957,20.43125279744466,1.4472439686457317,78.8816630045573,8.068888028462728,5.696204249435375,0.6018863239632917,435.83025487262495,9.028010666367916,0.103589071426525,8.118199507397081,37.99648968379167
2012-12-14T00:00:00,-64.7795,-64.0725,10,2012,349,,,221.6,14.1,2359.0,1.0,2159.0,8.26,16.45,1.36,58.97,1.03,1.35,0.11,0.76,0.03,1.15,0.36,3.17,0.64,,,,,9.24,2.41,3.83,-23.4,11.67,,0.3,0.1,0.15,0.27,0.12,0.1,,0.05,0.77,,,-0.2959766785303752,27.173682530721027,33.7469367980957,20.43125279744466,1.4472439686457317,78.8816630045573,8.068888028462728,3.458573099225292,0.4592137380192083,439.718336741125,6.757652888697084,0.0926873836045416,8.543593625232083,38.24960358938333
2012-12-18T00:00:00,-64.7795,-64.0725,10,2012,353,0.0,33.9,378.7,23.9,2359.0,1.0,2240.0,8.06,20.88,1.2,57.52,5.22,1.66,0.04,1.58,0.02,3.73,0.65,3.09,0.14,4.42,,-15.49,,13.46,2.95,4.56,-28.8,45.38,12.23,0.12,0.18,0.51,0.1,0.23,0.35,,0.05,0.47,,,-0.2959766785303752,27.173682530721027,33.7469367980957,20.43125279744466,1.4472439686457317,78.8816630045573,8.068888028462728,2.74238532641884,0.4134216178208125,441.3394444783958,5.845901240906251,0.0824631305295083,8.372917930291042,36.67546296119792
2012-12-19T00:00:00,-64.7795,-64.0725,10,2012,354,0.04,33.9,338.3,21.3,2351.0,0.0,2216.0,8.1,23.44,0.1,57.79,5.92,1.8,0.01,0.58,0.0,0.98,0.19,0.71,0.14,,,,,7.15,1.76,4.06,-29.1,41.2,9.95,0.07,0.08,0.25,0.06,0.1,0.17,,,,,,-0.2959766785303752,27.173682530721027,33.7469367980957,20.43125279744466,1.4472439686457317,78.8816630045573,8.068888028462728,2.74238532641884,0.4134216178208125,441.3394444783958,5.845901240906251,0.0824631305295083,8.372917930291042,36.67546296119792
2012-12-23T00:00:00,-64.7795,-64.0725,10,2012,358,0.29,33.9,333.0,20.7,2345.0,11.0,2204.0,8.11,21.13,0.42,59.4,0.44,1.64,0.02,0.33,0.0,0.85,0.1,0.53,0.08,,,,,7.01,1.81,3.88,-27.8,40.6,9.05,0.07,0.06,0.08,0.06,0.08,0.06,,,,,,-0.2959766785303752,27.173682530721027,33.7469367980957,20.43125279744466,1.4472439686457317,78.8816630045573,8.068888028462728,2.0261975536123877,0.3676294976224167,442.96055221566667,4.934149593115417,0.072238877454475,8.20224223535,35.1013223330125
2012-12-27T00:00:00,-64.7795,-64.0725,10,2012,362,0.14,34.0,355.0,22.2,2354.0,1.0,2222.0,8.08,24.08,0.28,64.5,0.31,1.81,0.02,0.39,0.03,0.7,0.1,1.03,0.12,,,,,13.61,1.33,10.21,-30.3,16.4,8.27,0.05,0.06,0.06,0.04,0.07,0.04,,,,,,-0.2959766785303752,27.173682530721027,33.7469367980957,20.43125279744466,1.4472439686457317,78.8816630045573,8.068888028462728,2.5706618274566,0.4029145259410416,449.88441085808336,5.36663774152625,0.063019209386225,8.564943571887916,33.355429251991666
2012-12-31T00:00:00,-64.7795,-64.0725,10,2012,366,,,344.7,21.6,2330.0,1.0,2198.0,8.09,19.88,0.08,58.68,8.97,1.55,0.0,0.54,0.05,0.62,0.01,0.86,0.43,3.38,0.02,6.9,0.9,6.31,1.49,4.23,-27.4,6.6,,0.07,0.09,0.09,0.06,0.12,0.06,,,,,,-0.2959766785303752,27.173682530721027,33.7469367980957,20.43125279744466,1.4472439686457317,78.8816630045573,8.068888028462728,2.5706618274566,0.4029145259410416,449.88441085808336,5.36663774152625,0.063019209386225,8.564943571887916,33.355429251991666
2013-01-02T00:00:00,-64.7795,-64.0725,10,2013,2,0.7,33.7,398.5,24.5,2318.0,7.0,2222.0,8.04,22.68,0.57,65.18,2.27,1.67,0.05,0.73,0.03,1.89,0.19,2.46,0.29,,,,,7.62,1.74,4.37,-28.7,37.4,7.1,0.09,0.1,0.17,0.08,0.13,0.12,,0.17,0.2,8.7,0.7,0.6339633266131083,27.10326321919759,33.738563537597656,19.659167607625324,1.564026673634847,57.36469014485677,8.099963823954264,2.6573461695421963,0.4075832348317291,441.5339781443333,5.606633670628334,0.066587490960975,7.844813967745416,30.96751681963333
2013-01-08T00:00:00,-64.7795,-64.0725,10,2013,8,0.32,33.7,445.8,27.8,2292.0,5.0,2214.0,7.99,20.18,0.71,64.14,0.68,1.51,0.01,2.76,0.12,1.84,0.05,2.26,0.06,,,,,21.08,4.0,5.27,-31.5,146.0,4.76,0.18,0.21,0.91,0.16,0.26,0.64,18.48,0.05,0.2,9.6,0.86,0.6339633266131083,27.10326321919759,33.738563537597656,19.659167607625324,1.564026673634847,57.36469014485677,8.099963823954264,2.5058013206968126,0.3966699118415833,425.9175237020417,5.924722279111876,0.0723575107985895,6.663874174157708,28.059747974068756
2013-01-11T00:00:00,-64.7795,-64.0725,10,2013,11,2.03,33.7,369.2,21.5,2317.0,2.0,2204.0,8.07,20.69,0.25,64.09,3.15,1.53,0.0,1.45,0.11,1.48,0.09,2.56,0.26,,,,,13.32,3.01,4.43,-30.3,45.8,5.24,0.13,0.13,0.64,0.11,0.16,0.45,19.27,0.05,0.2,6.8,0.65,0.6339633266131083,27.10326321919759,33.738563537597656,19.659167607625324,1.564026673634847,57.36469014485677,8.099963823954264,2.267572129765833,0.38108787996075,418.6515019735001,6.002814958493334,0.0745592490614541,6.2030639847125,27.5398915608625
2013-01-14T00:00:00,-64.7795,-64.0725,10,2013,14,1.31,33.7,388.6,23.3,2318.0,2.0,2214.0,8.05,21.49,0.06,61.26,7.44,1.56,0.0,2.72,0.22,3.75,0.19,5.13,1.2,,,,,15.4,3.73,4.14,-30.7,144.8,7.51,0.2,0.14,0.85,0.18,0.17,0.59,16.18,0.0,0.2,6.03,0.85,0.6339633266131083,27.10326321919759,33.738563537597656,19.659167607625324,1.564026673634847,57.36469014485677,8.099963823954264,2.267572129765833,0.38108787996075,418.6515019735001,6.002814958493334,0.0745592490614541,6.2030639847125,27.5398915608625
2013-01-17T00:00:00,-64.7795,-64.0725,10,2013,17,0.89,33.9,,,2326.0,1.0,,,19.44,0.69,58.8,2.43,1.48,0.08,1.81,0.08,1.94,0.05,2.7,0.95,,,,,10.4,2.56,4.07,-31.3,,,0.3,0.05,0.58,0.27,0.06,0.4,,,,9.1,2.7,0.6339633266131083,27.10326321919759,33.738563537597656,19.659167607625324,1.564026673634847,57.36469014485677,8.099963823954264,2.4111309262615,0.3911401716370833,413.96911366783337,6.152925272782082,0.0610109704236249,6.373207807540417,26.26156409581667
2013-01-21T00:00:00,-64.7795,-64.0725,10,2013,21,1.64,33.6,429.3,25.4,2323.0,5.0,2231.0,8.01,21.3,0.24,55.38,5.5,1.54,0.0,3.36,0.2,1.83,0.21,2.04,0.14,,,,,16.22,4.05,4.01,-31.6,186.1,7.23,0.51,0.2,1.58,0.45,0.25,1.11,16.6,,,,,0.6339633266131083,27.10326321919759,33.738563537597656,19.659167607625324,1.564026673634847,57.36469014485677,8.099963823954264,2.4111309262615,0.3911401716370833,413.96911366783337,6.152925272782082,0.0610109704236249,6.373207807540417,26.26156409581667
2013-01-28T00:00:00,-64.7795,-64.0725,10,2013,28,1.53,33.6,505.6,30.1,2302.0,0.0,2235.0,7.94,20.39,0.03,51.18,0.52,1.44,0.0,0.67,0.01,0.24,0.02,3.54,0.66,1.92,,9.06,,4.97,1.59,3.13,-29.3,32.4,,0.32,0.11,0.53,0.29,0.14,0.37,,,,,,0.6339633266131083,27.10326321919759,33.738563537597656,19.659167607625324,1.564026673634847,57.36469014485677,8.099963823954264,2.13068209340175,0.3723591615756667,394.51635869341663,5.905907531579583,0.0567151997238416,4.69758734107,20.600700060537505
2013-02-06T00:00:00,-64.7795,-64.0725,10,2013,37,1.63,33.5,430.3,25.5,2322.0,1.0,2233.0,8.01,22.79,0.16,53.62,5.81,1.66,0.0,3.76,0.03,5.26,0.43,8.89,0.78,,,,,21.55,5.02,4.3,-30.8,179.7,6.14,0.11,0.06,0.25,0.1,0.07,0.17,,,,,,1.0815033515294392,26.89413579305013,33.49192555745443,19.791866302490234,1.4862640301386516,59.7962506612142,7.95546023050944,1.7971515990798126,0.3505164710804791,396.7925885518542,5.299384335676875,0.0534129769075625,4.3923375358181245,20.09381955861875
2013-02-12T00:00:00,-64.7795,-64.0725,10,2013,43,1.69,33.5,407.4,24.1,2308.0,2.0,2208.0,8.03,22.44,0.08,61.0,3.99,1.6,0.0,2.15,0.32,3.56,0.42,5.69,1.45,,,,,24.34,5.33,4.57,-29.0,163.2,7.45,1.12,0.59,0.44,0.98,0.73,0.31,,,,,,1.0815033515294392,26.89413579305013,33.49192555745443,19.791866302490234,1.4862640301386516,59.7962506612142,7.95546023050944,2.3461618417256043,0.3858285658062291,387.34560775758337,6.0211511452989575,0.0476302861158375,3.6236949463685417,17.188506662841665
2013-02-18T00:00:00,-64.7795,-64.0725,10,2013,49,1.07,33.6,,,2336.0,2.0,,,23.65,0.03,61.91,5.77,1.69,0.0,2.38,0.04,2.72,0.46,3.09,0.08,,,,,13.31,2.92,4.56,-28.9,84.9,9.72,0.7,0.26,0.36,0.62,0.32,0.25,,,,,,1.0815033515294392,26.89413579305013,33.49192555745443,19.791866302490234,1.4862640301386516,59.7962506612142,7.95546023050944,2.766837577025417,0.413333490491,380.09611384075,6.605373899141665,0.0444216232281083,3.1019845604895835,15.043367544804164
2013-02-22T00:00:00,-64.7795,-64.0725,10,2013,53,1.37,33.7,372.1,22.3,2337.0,3.0,2204.0,8.06,19.28,1.37,57.4,4.79,1.38,0.11,2.42,0.33,0.87,0.09,3.78,0.31,,,,,20.43,3.85,5.3,-27.2,98.0,8.29,0.87,0.38,0.13,0.76,0.48,0.09,20.2,,,7.2,4.2,1.0815033515294392,26.89413579305013,33.49192555745443,19.791866302490234,1.4862640301386516,59.7962506612142,7.95546023050944,3.930105201899625,0.488153554499125,384.9478747050833,8.907883445422499,0.0537077914147291,3.671458204587916,17.8849769036
2013-02-25T00:00:00,-64.7795,-64.0725,10,2013,56,1.3,33.7,365.9,22.0,2345.0,2.0,2209.0,8.07,,,,,,,,,0.75,0.22,2.77,0.07,,,,,,,,,55.2,8.69,1.01,0.35,0.04,0.89,0.43,0.02,,,,7.4,,1.0815033515294392,26.89413579305013,33.49192555745443,19.791866302490234,1.4862640301386516,59.7962506612142,7.95546023050944,3.930105201899625,0.488153554499125,384.9478747050833,8.907883445422499,0.0537077914147291,3.671458204587916,17.8849769036
2013-03-01T00:00:00,-64.7795,-64.0725,10,2013,60,1.18,33.5,326.8,19.7,2341.0,1.0,2173.0,8.11,22.61,0.03,60.14,5.34,1.59,0.01,6.24,0.08,2.86,0.74,6.5,1.87,12.84,1.84,3.91,10.01,11.89,2.6,4.58,-27.0,359.27,7.26,1.85,0.69,0.22,1.63,0.86,0.16,,,,,,0.5338633259137472,27.045381546020508,33.62822469075521,24.469934463500977,1.8135968049367268,61.37110392252604,7.815071741739909,5.85219732920375,0.61176192636325,380.31726328533335,11.993650794027916,0.0362840997598499,3.7203095555304166,16.209527333578333
2013-03-06T00:00:00,-64.7795,-64.0725,10,2013,65,1.26,33.2,403.1,24.3,2320.0,6.0,2201.0,8.03,21.56,1.46,60.55,1.84,1.54,0.06,4.22,0.34,6.19,0.29,10.81,3.28,,,,,24.81,4.93,5.03,-27.0,142.7,6.67,1.34,0.39,0.35,1.19,0.49,0.24,,0.57,0.2,,,0.5338633259137472,27.045381546020508,33.62822469075521,24.469934463500977,1.8135968049367268,61.37110392252604,7.815071741739909,6.967649588983541,0.6818567793817292,377.38208707179166,14.173987964785626,0.0430829671483187,3.761094912886042,16.804593235255833
2013-03-08T00:00:00,-64.7795,-64.0725,10,2013,67,1.24,33.3,293.6,17.7,2333.0,8.0,2163.0,8.15,20.57,2.17,59.27,5.92,1.46,0.13,3.26,0.53,3.43,0.71,4.44,0.25,12.06,0.81,21.66,3.73,40.61,4.18,9.72,-28.4,128.7,6.03,1.61,0.41,0.11,1.43,0.51,0.08,,0.05,0.2,7.4,1.1,0.5338633259137472,27.045381546020508,33.62822469075521,24.469934463500977,1.8135968049367268,61.37110392252604,7.815071741739909,8.083101848763334,0.7519516324002083,374.44691085825,16.354325135543334,0.0498818345367874,3.8018802702416665,17.399659136933334
2013-03-11T00:00:00,-64.7795,-64.0725,10,2013,70,1.17,33.3,383.9,23.2,2315.0,1.0,2191.0,8.05,,,,,,,,,1.87,0.32,3.76,0.22,,,,,,,,,172.6,5.33,1.51,0.39,0.12,1.34,0.49,0.08,,0.38,0.2,,,0.5338633259137472,27.045381546020508,33.62822469075521,24.469934463500977,1.8135968049367268,61.37110392252604,7.815071741739909,8.083101848763334,0.7519516324002083,374.44691085825,16.354325135543334,0.0498818345367874,3.8018802702416665,17.399659136933334
2013-03-15T00:00:00,-64.7795,-64.0725,10,2013,74,1.13,33.4,356.0,21.5,2310.0,0.0,2178.0,8.08,16.76,0.05,48.92,0.21,1.26,0.06,4.21,0.52,2.56,0.22,6.34,0.21,,,,,,,,,143.19,,1.42,0.45,0.33,1.26,0.57,0.23,,0.58,0.2,12.7,2.7,0.5338633259137472,27.045381546020508,33.62822469075521,24.469934463500977,1.8135968049367268,61.37110392252604,7.815071741739909,6.345717440048333,0.6409650283555833,377.54530080162505,13.427841842173333,0.0350157386468112,4.2432785828908335,19.107374628391668
2013-03-21T00:00:00,-64.7795,-64.0725,10,2013,80,0.94,33.4,367.6,22.4,2311.0,2.0,2186.0,8.06,17.85,5.89,48.46,19.8,1.4,0.37,1.69,0.01,,,,,,,,,,,,,61.4,,0.37,0.11,0.08,0.33,0.13,0.06,,,,,,0.5338633259137472,27.045381546020508,33.62822469075521,24.469934463500977,1.8135968049367268,61.37110392252604,7.815071741739909,9.34709115824375,0.83193444212275,365.1461105346666,17.7902876536,0.0318556512938791,2.9870771070320834,13.579545418416666
